gnomex_id	replicate_id	rep_time	time_point	qc_conc	qc_rin	n_processed	n_pseudoaligned	n_unique	p_pseudoaligned	p_unique
14893X1	rep_1	1_24hpf	24hpf	15	9.6	113397474	73895384	40388620	65.2	35.6
14893X2	rep_1	1_36hpf	36hpf	16	8.8	102918774	63216915	35598449	61.4	34.6
14893X3	rep_1	1_48hpf	48hpf	12	9.6	121043892	70050229	39028790	57.9	32.2
14893X4	rep_1	1_60hpf	60hpf	11	7.5	93852706	59799348	33078245	63.7	35.2
14893X5	rep_1	1_72hpf	72hpf	21	8.9	108005380	70703862	39904514	65.5	36.9
14893X6	rep_2	2_24hpf	24hpf	10	9.8	90031237	53289753	29721031	59.2	33
14893X7	rep_2	2_36hpf	36hpf	18	8.2	131470834	70299154	40581949	53.5	30.9
14893X8	rep_2	2_48hpf	48hpf	38	5.9	88321925	39058296	23279887	44.2	26.4
14893X9	rep_2	2_60hpf	60hpf	20	9.4	108986883	60478326	35162568	55.5	32.3
14893X10	rep_2	2_72hpf	72hpf	49	5.8	104795142	52515595	31464671	50.1	30
14893X11	rep_3	3_24hpf	24hpf	4.2	7.8	113172698	67342114	36166940	59.5	32
14893X12	rep_3	3_36hpf	36hpf	10	9.3	90191790	52527088	29641373	58.2	32.9
14893X13	rep_3	3_48hpf	48hpf	13	7.6	90664831	50005242	28242138	55.2	31.2
14893X14	rep_3	3_60hpf	60hpf	5.1	7	101314943	57484164	31575364	56.7	31.2
14893X15	rep_3	3_72hpf	72hpf	7.8	8.1	139781637	89548660	50623761	64.1	36.2
14893X16	rep_4	4_24hpf	24hpf	17	7	124500612	65856307	34015006	52.9	27.3
14893X17	rep_4	4_36hpf	36hpf	11	9.1	87945469	49269516	25577381	56	29.1
14893X18	rep_4	4_48hpf	48hpf	12	10	96647405	59041867	32125408	61.1	33.2
14893X19	rep_4	4_60hpf	60hpf	5.9	8.2	158481637	96675904	52827019	61	33.3
14893X20	rep_4	4_72hpf	72hpf	11	8.8	124179031	84332153	47069935	67.9	37.9
14893X21	rep_5	5_60hpf	60hpf	24	5.4	135802754	74634309	41585470	55	30.6
14893X22	rep_5	5_72hpf	72hpf	14	7.2	103286589	64540879	36073862	62.5	34.9
