cluster	gene	probability
1	ENSDARG00000000002	0.7555
1	ENSDARG00000000189	0.1296
1	ENSDARG00000000551	0.7796
1	ENSDARG00000000666	0.7146
1	ENSDARG00000000796	0.6073
1	ENSDARG00000001169	0.3959
1	ENSDARG00000001437	0.2970
1	ENSDARG00000001442	0.0882
1	ENSDARG00000001686	0.7975
1	ENSDARG00000001909	0.7621
1	ENSDARG00000002167	0.8017
1	ENSDARG00000002204	0.7638
1	ENSDARG00000002231	0.7806
1	ENSDARG00000002249	0.7351
1	ENSDARG00000002549	0.0898
1	ENSDARG00000002564	0.8107
1	ENSDARG00000002945	0.7036
1	ENSDARG00000003032	0.5189
1	ENSDARG00000003109	0.5564
1	ENSDARG00000003181	0.7547
1	ENSDARG00000003216	0.6534
1	ENSDARG00000003281	0.7763
1	ENSDARG00000003421	0.6659
1	ENSDARG00000003576	0.8010
1	ENSDARG00000003632	0.8005
1	ENSDARG00000003705	0.7691
1	ENSDARG00000003797	0.2571
1	ENSDARG00000003902	0.5400
1	ENSDARG00000003931	0.7891
1	ENSDARG00000003968	0.7896
1	ENSDARG00000003989	0.6375
1	ENSDARG00000004227	0.7935
1	ENSDARG00000004246	0.7959
1	ENSDARG00000004260	0.5079
1	ENSDARG00000004307	0.7848
1	ENSDARG00000004714	0.7977
1	ENSDARG00000004948	0.7920
1	ENSDARG00000005191	0.7936
1	ENSDARG00000005355	0.2645
1	ENSDARG00000005368	0.8092
1	ENSDARG00000005414	0.7357
1	ENSDARG00000005448	0.1167
1	ENSDARG00000005670	0.7398
1	ENSDARG00000005716	0.7904
1	ENSDARG00000005834	0.4285
1	ENSDARG00000006031	0.7378
1	ENSDARG00000006065	0.7876
1	ENSDARG00000006279	0.7109
1	ENSDARG00000006588	0.5896
1	ENSDARG00000006598	0.7273
1	ENSDARG00000006615	0.5548
1	ENSDARG00000006901	0.2534
1	ENSDARG00000007245	0.7890
1	ENSDARG00000007275	0.2185
1	ENSDARG00000007344	0.7831
1	ENSDARG00000007412	0.6428
1	ENSDARG00000007421	0.1314
1	ENSDARG00000007425	0.3571
1	ENSDARG00000007753	0.7323
1	ENSDARG00000007807	0.4861
1	ENSDARG00000008237	0.5076
1	ENSDARG00000008249	0.0562
1	ENSDARG00000008363	0.4208
1	ENSDARG00000008407	0.4606
1	ENSDARG00000008593	0.7767
1	ENSDARG00000008697	0.5579
1	ENSDARG00000009134	0.5922
1	ENSDARG00000009160	0.3840
1	ENSDARG00000009194	0.6736
1	ENSDARG00000009341	0.7903
1	ENSDARG00000009610	0.7046
1	ENSDARG00000009837	0.6768
1	ENSDARG00000009901	0.1289
1	ENSDARG00000010312	0.6230
1	ENSDARG00000010407	0.7620
1	ENSDARG00000010625	0.6612
1	ENSDARG00000010630	0.6764
1	ENSDARG00000010756	0.8017
1	ENSDARG00000010936	0.7499
1	ENSDARG00000010953	0.4293
1	ENSDARG00000011091	0.7626
1	ENSDARG00000011166	0.7642
1	ENSDARG00000011170	0.7886
1	ENSDARG00000011188	0.8047
1	ENSDARG00000011701	0.6146
1	ENSDARG00000011837	0.6335
1	ENSDARG00000011926	0.7892
1	ENSDARG00000012013	0.0813
1	ENSDARG00000012138	0.7252
1	ENSDARG00000012353	0.3974
1	ENSDARG00000012581	0.8009
1	ENSDARG00000012790	0.7680
