




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster5.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster5.txt (452)	cluster5.txt (expected)	cluster5.txt (over/under)	cluster5.txt (fold Enrichment)	cluster5.txt (raw P-value)	cluster5.txt (FDR)
regulation of cellular metabolic process (GO:0031323)	2815	150	54.77	+	2.74	6.89E-31	2.96E-27
regulation of macromolecule metabolic process (GO:0060255)	2781	149	54.11	+	2.75	6.73E-31	5.79E-27
regulation of metabolic process (GO:0019222)	2992	154	58.21	+	2.65	3.17E-30	9.07E-27
chromosome organization (GO:0051276)	468	61	9.11	+	6.70	6.43E-30	1.38E-26
regulation of primary metabolic process (GO:0080090)	2703	143	52.59	+	2.72	6.28E-29	1.08E-25
regulation of nitrogen compound metabolic process (GO:0051171)	2656	141	51.67	+	2.73	1.29E-28	1.85E-25
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1964	119	38.21	+	3.11	1.73E-28	2.12E-25
regulation of RNA metabolic process (GO:0051252)	1905	114	37.06	+	3.08	9.29E-27	9.98E-24
regulation of gene expression (GO:0010468)	2107	119	40.99	+	2.90	6.46E-26	6.17E-23
regulation of cellular macromolecule biosynthetic process (GO:2000112)	1910	109	37.16	+	2.93	6.33E-24	5.44E-21
regulation of cellular biosynthetic process (GO:0031326)	1944	110	37.82	+	2.91	7.09E-24	5.54E-21
regulation of macromolecule biosynthetic process (GO:0010556)	1918	109	37.32	+	2.92	8.69E-24	6.22E-21
regulation of biosynthetic process (GO:0009889)	1962	110	38.17	+	2.88	1.43E-23	9.46E-21
regulation of RNA biosynthetic process (GO:2001141)	1757	97	34.18	+	2.84	3.29E-20	1.77E-17
regulation of nucleic acid-templated transcription (GO:1903506)	1756	97	34.16	+	2.84	3.17E-20	1.81E-17
regulation of transcription, DNA-templated (GO:0006355)	1755	97	34.15	+	2.84	3.05E-20	1.87E-17
regulation of cellular process (GO:0050794)	7076	231	137.67	+	1.68	1.60E-19	8.08E-17
chromatin organization (GO:0006325)	316	40	6.15	+	6.51	1.83E-19	8.74E-17
regulation of biological process (GO:0050789)	7515	238	146.21	+	1.63	1.53E-18	6.92E-16
cell cycle (GO:0007049)	494	47	9.61	+	4.89	4.26E-18	1.83E-15
organelle organization (GO:0006996)	1837	94	35.74	+	2.63	1.71E-17	6.98E-15
cell cycle process (GO:0022402)	378	40	7.35	+	5.44	5.45E-17	2.13E-14
anatomical structure development (GO:0048856)	3624	143	70.51	+	2.03	5.85E-17	2.19E-14
biological regulation (GO:0065007)	8169	246	158.94	+	1.55	1.68E-16	6.01E-14
multicellular organism development (GO:0007275)	3357	134	65.31	+	2.05	3.49E-16	1.20E-13
developmental process (GO:0032502)	3778	144	73.50	+	1.96	6.49E-16	2.15E-13
mitotic cell cycle (GO:0000278)	281	33	5.47	+	6.04	2.15E-15	6.83E-13
cellular component organization (GO:0016043)	2957	121	57.53	+	2.10	3.21E-15	9.86E-13
mitotic cell cycle process (GO:1903047)	220	29	4.28	+	6.78	7.68E-15	2.28E-12
cellular component organization or biogenesis (GO:0071840)	3080	123	59.92	+	2.05	1.02E-14	2.91E-12
sister chromatid segregation (GO:0000819)	63	18	1.23	+	14.69	1.22E-14	3.38E-12
nervous system development (GO:0007399)	1392	73	27.08	+	2.70	4.12E-14	1.11E-11
system development (GO:0048731)	2957	117	57.53	+	2.03	1.07E-13	2.80E-11
nuclear chromosome segregation (GO:0098813)	100	19	1.95	+	9.77	1.26E-12	3.18E-10
multicellular organismal process (GO:0032501)	4046	141	78.72	+	1.79	1.60E-12	3.94E-10
DNA conformation change (GO:0071103)	105	19	2.04	+	9.30	2.69E-12	6.41E-10
animal organ development (GO:0048513)	2094	90	40.74	+	2.21	2.81E-12	6.53E-10
