gnomex_id	sample_id	time_point	lane	read_1_filename	read_2_filename
14893X1	1_24hpf	24hpf	1	14893X1_180215_D00294_0374_ACC6RBANXX_1_1.txt.gz	14893X1_180215_D00294_0374_ACC6RBANXX_1_2.txt.gz
14893X1	1_24hpf	24hpf	2	14893X1_180215_D00294_0374_ACC6RBANXX_2_1.txt.gz	14893X1_180215_D00294_0374_ACC6RBANXX_2_2.txt.gz
14893X1	1_24hpf	24hpf	3	14893X1_180215_D00294_0374_ACC6RBANXX_3_1.txt.gz	14893X1_180215_D00294_0374_ACC6RBANXX_3_2.txt.gz
14893X1	1_24hpf	24hpf	4	14893X1_180215_D00294_0374_ACC6RBANXX_4_1.txt.gz	14893X1_180215_D00294_0374_ACC6RBANXX_4_2.txt.gz
14893X1	1_24hpf	24hpf	5	14893X1_180215_D00294_0374_ACC6RBANXX_5_1.txt.gz	14893X1_180215_D00294_0374_ACC6RBANXX_5_2.txt.gz
14893X1	1_24hpf	24hpf	6	14893X1_180215_D00294_0374_ACC6RBANXX_6_1.txt.gz	14893X1_180215_D00294_0374_ACC6RBANXX_6_2.txt.gz
14893X1	1_24hpf	24hpf	7	14893X1_180215_D00294_0374_ACC6RBANXX_7_1.txt.gz	14893X1_180215_D00294_0374_ACC6RBANXX_7_2.txt.gz
14893X1	1_24hpf	24hpf	8	14893X1_180215_D00294_0374_ACC6RBANXX_8_1.txt.gz	14893X1_180215_D00294_0374_ACC6RBANXX_8_2.txt.gz
14893X10	2_72hpf	72hpf	1	14893X10_180215_D00294_0374_ACC6RBANXX_1_1.txt.gz	14893X10_180215_D00294_0374_ACC6RBANXX_1_2.txt.gz
14893X10	2_72hpf	72hpf	2	14893X10_180215_D00294_0374_ACC6RBANXX_2_1.txt.gz	14893X10_180215_D00294_0374_ACC6RBANXX_2_2.txt.gz
14893X10	2_72hpf	72hpf	3	14893X10_180215_D00294_0374_ACC6RBANXX_3_1.txt.gz	14893X10_180215_D00294_0374_ACC6RBANXX_3_2.txt.gz
14893X10	2_72hpf	72hpf	4	14893X10_180215_D00294_0374_ACC6RBANXX_4_1.txt.gz	14893X10_180215_D00294_0374_ACC6RBANXX_4_2.txt.gz
14893X10	2_72hpf	72hpf	5	14893X10_180215_D00294_0374_ACC6RBANXX_5_1.txt.gz	14893X10_180215_D00294_0374_ACC6RBANXX_5_2.txt.gz
14893X10	2_72hpf	72hpf	6	14893X10_180215_D00294_0374_ACC6RBANXX_6_1.txt.gz	14893X10_180215_D00294_0374_ACC6RBANXX_6_2.txt.gz
14893X10	2_72hpf	72hpf	7	14893X10_180215_D00294_0374_ACC6RBANXX_7_1.txt.gz	14893X10_180215_D00294_0374_ACC6RBANXX_7_2.txt.gz
14893X10	2_72hpf	72hpf	8	14893X10_180215_D00294_0374_ACC6RBANXX_8_1.txt.gz	14893X10_180215_D00294_0374_ACC6RBANXX_8_2.txt.gz
14893X11	3_24hpf	24hpf	1	14893X11_180215_D00294_0374_ACC6RBANXX_1_1.txt.gz	14893X11_180215_D00294_0374_ACC6RBANXX_1_2.txt.gz
14893X11	3_24hpf	24hpf	2	14893X11_180215_D00294_0374_ACC6RBANXX_2_1.txt.gz	14893X11_180215_D00294_0374_ACC6RBANXX_2_2.txt.gz
14893X11	3_24hpf	24hpf	3	14893X11_180215_D00294_0374_ACC6RBANXX_3_1.txt.gz	14893X11_180215_D00294_0374_ACC6RBANXX_3_2.txt.gz
14893X11	3_24hpf	24hpf	4	14893X11_180215_D00294_0374_ACC6RBANXX_4_1.txt.gz	14893X11_180215_D00294_0374_ACC6RBANXX_4_2.txt.gz
14893X11	3_24hpf	24hpf	5	14893X11_180215_D00294_0374_ACC6RBANXX_5_1.txt.gz	14893X11_180215_D00294_0374_ACC6RBANXX_5_2.txt.gz
14893X11	3_24hpf	24hpf	6	14893X11_180215_D00294_0374_ACC6RBANXX_6_1.txt.gz	14893X11_180215_D00294_0374_ACC6RBANXX_6_2.txt.gz
14893X11	3_24hpf	24hpf	7	14893X11_180215_D00294_0374_ACC6RBANXX_7_1.txt.gz	14893X11_180215_D00294_0374_ACC6RBANXX_7_2.txt.gz
14893X11	3_24hpf	24hpf	8	14893X11_180215_D00294_0374_ACC6RBANXX_8_1.txt.gz	14893X11_180215_D00294_0374_ACC6RBANXX_8_2.txt.gz
14893X12	3_36hpf	36hpf	1	14893X12_180215_D00294_0374_ACC6RBANXX_1_1.txt.gz	14893X12_180215_D00294_0374_ACC6RBANXX_1_2.txt.gz
14893X12	3_36hpf	36hpf	2	14893X12_180215_D00294_0374_ACC6RBANXX_2_1.txt.gz	14893X12_180215_D00294_0374_ACC6RBANXX_2_2.txt.gz
14893X12	3_36hpf	36hpf	3	14893X12_180215_D00294_0374_ACC6RBANXX_3_1.txt.gz	14893X12_180215_D00294_0374_ACC6RBANXX_3_2.txt.gz
14893X12	3_36hpf	36hpf	4	14893X12_180215_D00294_0374_ACC6RBANXX_4_1.txt.gz	14893X12_180215_D00294_0374_ACC6RBANXX_4_2.txt.gz
14893X12	3_36hpf	36hpf	5	14893X12_180215_D00294_0374_ACC6RBANXX_5_1.txt.gz	14893X12_180215_D00294_0374_ACC6RBANXX_5_2.txt.gz
14893X12	3_36hpf	36hpf	6	14893X12_180215_D00294_0374_ACC6RBANXX_6_1.txt.gz	14893X12_180215_D00294_0374_ACC6RBANXX_6_2.txt.gz
14893X12	3_36hpf	36hpf	7	14893X12_180215_D00294_0374_ACC6RBANXX_7_1.txt.gz	14893X12_180215_D00294_0374_ACC6RBANXX_7_2.txt.gz
14893X12	3_36hpf	36hpf	8	14893X12_180215_D00294_0374_ACC6RBANXX_8_1.txt.gz	14893X12_180215_D00294_0374_ACC6RBANXX_8_2.txt.gz
14893X13	3_48hpf	48hpf	1	14893X13_180215_D00294_0374_ACC6RBANXX_1_1.txt.gz	14893X13_180215_D00294_0374_ACC6RBANXX_1_2.txt.gz
14893X13	3_48hpf	48hpf	2	14893X13_180215_D00294_0374_ACC6RBANXX_2_1.txt.gz	14893X13_180215_D00294_0374_ACC6RBANXX_2_2.txt.gz
14893X13	3_48hpf	48hpf	3	14893X13_180215_D00294_0374_ACC6RBANXX_3_1.txt.gz	14893X13_180215_D00294_0374_ACC6RBANXX_3_2.txt.gz
14893X13	3_48hpf	48hpf	4	14893X13_180215_D00294_0374_ACC6RBANXX_4_1.txt.gz	14893X13_180215_D00294_0374_ACC6RBANXX_4_2.txt.gz
14893X13	3_48hpf	48hpf	5	14893X13_180215_D00294_0374_ACC6RBANXX_5_1.txt.gz	14893X13_180215_D00294_0374_ACC6RBANXX_5_2.txt.gz
14893X13	3_48hpf	48hpf	6	14893X13_180215_D00294_0374_ACC6RBANXX_6_1.txt.gz	14893X13_180215_D00294_0374_ACC6RBANXX_6_2.txt.gz
14893X13	3_48hpf	48hpf	7	14893X13_180215_D00294_0374_ACC6RBANXX_7_1.txt.gz	14893X13_180215_D00294_0374_ACC6RBANXX_7_2.txt.gz
14893X13	3_48hpf	48hpf	8	14893X13_180215_D00294_0374_ACC6RBANXX_8_1.txt.gz	14893X13_180215_D00294_0374_ACC6RBANXX_8_2.txt.gz
14893X14	3_60hpf	60hpf	1	14893X14_180215_D00294_0374_ACC6RBANXX_1_1.txt.gz	14893X14_180215_D00294_0374_ACC6RBANXX_1_2.txt.gz
14893X14	3_60hpf	60hpf	2	14893X14_180215_D00294_0374_ACC6RBANXX_2_1.txt.gz	14893X14_180215_D00294_0374_ACC6RBANXX_2_2.txt.gz
14893X14	3_60hpf	60hpf	3	14893X14_180215_D00294_0374_ACC6RBANXX_3_1.txt.gz	14893X14_180215_D00294_0374_ACC6RBANXX_3_2.txt.gz
14893X14	3_60hpf	60hpf	4	14893X14_180215_D00294_0374_ACC6RBANXX_4_1.txt.gz	14893X14_180215_D00294_0374_ACC6RBANXX_4_2.txt.gz
14893X14	3_60hpf	60hpf	5	14893X14_180215_D00294_0374_ACC6RBANXX_5_1.txt.gz	14893X14_180215_D00294_0374_ACC6RBANXX_5_2.txt.gz
14893X14	3_60hpf	60hpf	6	14893X14_180215_D00294_0374_ACC6RBANXX_6_1.txt.gz	14893X14_180215_D00294_0374_ACC6RBANXX_6_2.txt.gz
14893X14	3_60hpf	60hpf	7	14893X14_180215_D00294_0374_ACC6RBANXX_7_1.txt.gz	14893X14_180215_D00294_0374_ACC6RBANXX_7_2.txt.gz
14893X14	3_60hpf	60hpf	8	14893X14_180215_D00294_0374_ACC6RBANXX_8_1.txt.gz	14893X14_180215_D00294_0374_ACC6RBANXX_8_2.txt.gz
14893X15	3_72hpf	72hpf	1	14893X15_180215_D00294_0374_ACC6RBANXX_1_1.txt.gz	14893X15_180215_D00294_0374_ACC6RBANXX_1_2.txt.gz
14893X15	3_72hpf	72hpf	2	14893X15_180215_D00294_0374_ACC6RBANXX_2_1.txt.gz	14893X15_180215_D00294_0374_ACC6RBANXX_2_2.txt.gz
14893X15	3_72hpf	72hpf	3	14893X15_180215_D00294_0374_ACC6RBANXX_3_1.txt.gz	14893X15_180215_D00294_0374_ACC6RBANXX_3_2.txt.gz
14893X15	3_72hpf	72hpf	4	14893X15_180215_D00294_0374_ACC6RBANXX_4_1.txt.gz	14893X15_180215_D00294_0374_ACC6RBANXX_4_2.txt.gz
14893X15	3_72hpf	72hpf	5	14893X15_180215_D00294_0374_ACC6RBANXX_5_1.txt.gz	14893X15_180215_D00294_0374_ACC6RBANXX_5_2.txt.gz
14893X15	3_72hpf	72hpf	6	14893X15_180215_D00294_0374_ACC6RBANXX_6_1.txt.gz	14893X15_180215_D00294_0374_ACC6RBANXX_6_2.txt.gz
14893X15	3_72hpf	72hpf	7	14893X15_180215_D00294_0374_ACC6RBANXX_7_1.txt.gz	14893X15_180215_D00294_0374_ACC6RBANXX_7_2.txt.gz
14893X15	3_72hpf	72hpf	8	14893X15_180215_D00294_0374_ACC6RBANXX_8_1.txt.gz	14893X15_180215_D00294_0374_ACC6RBANXX_8_2.txt.gz
14893X16	4_24hpf	24hpf	1	14893X16_180215_D00294_0374_ACC6RBANXX_1_1.txt.gz	14893X16_180215_D00294_0374_ACC6RBANXX_1_2.txt.gz
14893X16	4_24hpf	24hpf	2	14893X16_180215_D00294_0374_ACC6RBANXX_2_1.txt.gz	14893X16_180215_D00294_0374_ACC6RBANXX_2_2.txt.gz
14893X16	4_24hpf	24hpf	3	14893X16_180215_D00294_0374_ACC6RBANXX_3_1.txt.gz	14893X16_180215_D00294_0374_ACC6RBANXX_3_2.txt.gz
14893X16	4_24hpf	24hpf	4	14893X16_180215_D00294_0374_ACC6RBANXX_4_1.txt.gz	14893X16_180215_D00294_0374_ACC6RBANXX_4_2.txt.gz
14893X16	4_24hpf	24hpf	5	14893X16_180215_D00294_0374_ACC6RBANXX_5_1.txt.gz	14893X16_180215_D00294_0374_ACC6RBANXX_5_2.txt.gz
14893X16	4_24hpf	24hpf	6	14893X16_180215_D00294_0374_ACC6RBANXX_6_1.txt.gz	14893X16_180215_D00294_0374_ACC6RBANXX_6_2.txt.gz
14893X16	4_24hpf	24hpf	7	14893X16_180215_D00294_0374_ACC6RBANXX_7_1.txt.gz	14893X16_180215_D00294_0374_ACC6RBANXX_7_2.txt.gz
14893X16	4_24hpf	24hpf	8	14893X16_180215_D00294_0374_ACC6RBANXX_8_1.txt.gz	14893X16_180215_D00294_0374_ACC6RBANXX_8_2.txt.gz
14893X17	4_36hpf	36hpf	1	14893X17_180215_D00294_0374_ACC6RBANXX_1_1.txt.gz	14893X17_180215_D00294_0374_ACC6RBANXX_1_2.txt.gz
14893X17	4_36hpf	36hpf	2	14893X17_180215_D00294_0374_ACC6RBANXX_2_1.txt.gz	14893X17_180215_D00294_0374_ACC6RBANXX_2_2.txt.gz
14893X17	4_36hpf	36hpf	3	14893X17_180215_D00294_0374_ACC6RBANXX_3_1.txt.gz	14893X17_180215_D00294_0374_ACC6RBANXX_3_2.txt.gz
14893X17	4_36hpf	36hpf	4	14893X17_180215_D00294_0374_ACC6RBANXX_4_1.txt.gz	14893X17_180215_D00294_0374_ACC6RBANXX_4_2.txt.gz
14893X17	4_36hpf	36hpf	5	14893X17_180215_D00294_0374_ACC6RBANXX_5_1.txt.gz	14893X17_180215_D00294_0374_ACC6RBANXX_5_2.txt.gz
14893X17	4_36hpf	36hpf	6	14893X17_180215_D00294_0374_ACC6RBANXX_6_1.txt.gz	14893X17_180215_D00294_0374_ACC6RBANXX_6_2.txt.gz
14893X17	4_36hpf	36hpf	7	14893X17_180215_D00294_0374_ACC6RBANXX_7_1.txt.gz	14893X17_180215_D00294_0374_ACC6RBANXX_7_2.txt.gz
