target_id	length	eff_length	est_counts	tpm
ENSDART00000189226.1	10	5	0	0
ENSDART00000189431.1	11	3.5	0	0
ENSDART00000160762.2	345	161.728	3	0.327709
ENSDART00000170804.2	366	181.162	2	0.195036
ENSDART00000165410.2	350	166.338	5	0.531043
ENSDART00000163675.2	339	156.259	0	0
ENSDART00000171132.2	338	155.373	5	0.56852
ENSDART00000172037.2	344	160.819	11	1.20839
ENSDART00000161368.2	354	169.963	2	0.207887
ENSDART00000172374.2	355	170.868	2	0.206786
ENSDART00000167067.2	378	192.428	7	0.64266
ENSDART00000161271.2	334	151.702	1	0.116456
ENSDART00000163938.2	366	181.162	3	0.292554
ENSDART00000161622.2	445	256.754	9	0.619268
ENSDART00000162257.2	426	238.178	3	0.222521
ENSDART00000158119.2	318	137.595	0	0
ENSDART00000169491.2	387	200.912	10	0.879318
ENSDART00000172528.2	396	209.398	0	0
ENSDART00000166253.2	411	223.679	16	1.26371
ENSDART00000160948.2	323	141.931	3	0.37342
ENSDART00000161537.2	377	191.503	3	0.276757
ENSDART00000159235.2	348	164.472	2	0.214827
ENSDART00000171772.2	483	294.237	10.9815	0.659349
ENSDART00000167404.2	357	172.734	9	0.920486
ENSDART00000171344.2	462	273.485	10.7881	0.696891
ENSDART00000168039.2	470	281.379	13	0.816215
ENSDART00000157830.2	431	243.02	4.23038	0.307531
ENSDART00000166182.2	372	186.77	5.16951	0.488983
ENSDART00000167805.2	378	192.428	3	0.275426
ENSDART00000159795.2	419	231.448	4	0.305323
ENSDART00000160202.2	378	192.428	2	0.183617
ENSDART00000163851.2	330	148.121	4	0.477086
ENSDART00000161463.2	417	229.518	0	0
ENSDART00000164491.2	366	181.162	4	0.390072
ENSDART00000158772.2	348	164.472	6	0.644482
ENSDART00000167409.2	420	232.391	3	0.228063
ENSDART00000160204.2	348	164.472	21	2.25569
ENSDART00000166882.2	420	232.391	1	0.076021
ENSDART00000171020.2	383	197.132	3	0.268854
ENSDART00000162456.2	366	181.162	0	0
ENSDART00000164309.2	390	203.717	4	0.346885
ENSDART00000160996.2	369	183.94	0	0
ENSDART00000166892.2	332	149.906	16	1.88562
ENSDART00000171613.2	393	206.553	8	0.684244
ENSDART00000164961.2	357	172.734	11	1.12504
ENSDART00000164492.2	396	209.398	2	0.168737
ENSDART00000158814.2	396	209.398	2	0.168737
ENSDART00000171201.2	397	210.34	5	0.419952
ENSDART00000164110.2	399	212.265	10	0.832289
ENSDART00000166029.2	381	195.278	7	0.633281
ENSDART00000165676.2	371	185.811	3.46933	0.329857
ENSDART00000163282.2	342	158.989	13	1.44454
ENSDART00000167496.2	346	162.651	14.2727	1.55025
ENSDART00000164659.2	404	216.988	4.11617	0.335128
ENSDART00000164489.2	350	166.338	4	0.424835
ENSDART00000160625.2	413	225.63	3.97757	0.311439
ENSDART00000169436.2	387	200.912	7	0.615523
ENSDART00000170399.2	380	194.321	1	0.0909142
ENSDART00000162378.2	358	173.666	5.00619	0.509265
ENSDART00000169864.2	389	202.767	3	0.261382
ENSDART00000164059.2	336	153.521	11	1.26583
ENSDART00000168607.2	375	189.598	5	0.465896
ENSDART00000161399.2	381	195.278	9	0.814218
ENSDART00000171483.2	397	210.34	2.50781	0.210632
ENSDART00000171356.2	339	156.259	4	0.452237
ENSDART00000172182.2	413	225.63	17.4743	1.36822
ENSDART00000113019.3	414	226.611	2	0.15592
ENSDART00000170523.2	375	189.598	9	0.838612
